,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,SameSide,OppositeSide,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar,AlliesGained2YearsBeforeWar,AlliesLost2YearsBeforeWar,AlliesGained2YearsAfterWar,AlliesLost2YearsAfterWar
20,2008-08-08,1856-03-01 00:00:00,1854-03-31 00:00:00,2008-08-08,22,Crimean,1,220,France,1,-8,2,2,1,-8,95000,4,"[640L, 325L, 200L]",[365L],"[200L, 325L, 640L]",['None'],['None'],"[200L, 325L, 200L, 300L, 300L, 200L, 380L]",['None'],"[200L, 325L, 640L]",['None'],"[200L, 300L]","[200L, 325L, 640L, 200L, 325L, 200L, 300L, 300L, 200L, 380L]"
21,2008-08-08,1856-03-01 00:00:00,1854-03-31 00:00:00,2008-08-08,22,Crimean,1,200,United Kingdom,1,-8,2,2,1,-8,22000,4,"[640L, 325L, 220L]",[365L],"[380L, 220L, 325L, 640L]",[380L],[380L],"[220L, 325L, 220L, 300L, 220L, 380L]",['None'],"[220L, 325L, 640L]",['None'],"[220L, 300L]","[220L, 325L, 640L, 220L, 325L, 220L, 300L, 220L, 380L]"
22,2008-08-08,1856-03-01 00:00:00,1853-10-23 00:00:00,2008-08-08,22,Crimean,1,365,Russia,2,-8,2,2,2,-8,100000,4,[],"[640L, 325L, 220L, 200L]",['None'],['None'],['None'],['None'],['None'],['None'],"[255L, 300L, 300L]",['None'],['None']
23,2008-08-08,1857-04-05 00:00:00,1856-10-25 00:00:00,2008-08-08,25,Anglo-Persian,1,200,United Kingdom,1,-8,6,1,1,-8,500,4,[],[630L],"[380L, 220L, 300L]",[380L],"[380L, 220L, 300L]",['None'],['None'],"[220L, 300L, 220L, 380L, 220L, 300L]","[220L, 325L, 640L, 220L, 325L, 220L, 300L, 220L, 380L]",['None'],['None']
24,2008-08-08,1857-04-05 00:00:00,1856-10-25 00:00:00,2008-08-08,25,Anglo-Persian,1,630,Iran,2,-8,6,2,2,-8,1500,4,[],[200L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
25,2008-08-08,1859-07-12 00:00:00,1859-04-29 00:00:00,2008-08-08,28,Italian Unification,1,325,Sardinia/Piedmont,1,-8,2,2,1,-8,2500,4,[220L],[300L],['None'],['None'],['None'],['None'],[220L],[220L],['None'],['None'],['None']
26,2008-08-08,1859-07-12 00:00:00,1859-04-29 00:00:00,2008-08-08,28,Italian Unification,1,300,Austria,2,-8,2,1,2,-8,12500,4,[],"[325L, 220L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 200L, 220L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 200L, 220L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 200L, 220L]",['None'],"[332L, 335L]",['None'],['None'],['None'],['None']
27,2008-08-08,1859-07-12 00:00:00,1859-05-03 00:00:00,2008-08-08,28,Italian Unification,1,220,France,1,-8,2,2,1,-8,7500,4,[325L],[300L],"[200L, 300L, 365L]","[200L, 300L]","[200L, 300L]",['None'],[325L],"[325L, 365L]",['None'],['None'],[365L]
28,2008-08-08,1860-03-25 00:00:00,1859-10-22 00:00:00,2008-08-08,31,First Spanish-Moroccan,1,600,Morocco,2,-8,6,2,2,-8,6000,4,[],[230L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
29,2008-08-08,1860-03-25 00:00:00,1859-10-22 00:00:00,2008-08-08,31,First Spanish-Moroccan,1,230,Spain,1,-8,6,1,1,-8,4000,4,[],[600L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],"[200L, 220L]",['None']
